,NAME,COHORT,DESCRIPTION
1136,Lawn Love,s2014,"Modern, on-demand lawn care service. Book a skilled, experienced lawn technician in under two minutes, and manage everything seamlessly from your phone or web browser."
1137,ListRunner,s2014,Replaces paper patient lists for doctors.
1138,MTailor,s2014,Get measured by your phone in under 30 seconds for perfect fitting custom clothing
1139,Naytev,s2014,"Naytev optimizes the packaging and distribution of social content, saving teams time and driving more social conversions."
1140,Neptune.io,s2014,A self-healing platform to enrich and fix server alerts automatically
1141,Nightingale,s2014,App for managing care of autistic students
1142,Oklo,s2014,"Emission free, always on power."
1143,One Codex,s2014,Genomic search and discovery.
1144,Owners Circle,s2014,Kickstarter for local businesses
1145,Paid,s2014,Autopilot for Accounts Receivable
1146,Parenthoods,s2014,Communities for expecting and new parents.
1147,Payable,s2014,Simple payments and tax compliance for your contract workforce.
1148,Permutive,s2014,Platform for real-time personalization
1149,PersistIQ,s2014,PersistIQ is sales engagement software that's easy to use.
1150,PicnicHealth,s2014,"PicnicHealth makes medical records useful for patients, doctors, and researchers."
1151,Product Hunt,s2014,Hacker News for Products
1152,Protocol Labs,s2014,IPFS -- new hypermedia distribution protocol to replace HTTP (git + bittorrent) Filecoin -- cryptocurrency operated file storage network
1153,Ravti,s2014,"Software to track, manage, and procure HVAC for commercial real estate."
1154,Replenish,s2014,Keurig machine for smoothies.
1155,Rigetti Computing,s2014,Quantum coherent supercomputing.
1156,Roomstorm,s2014,Real time B2B hotel room marketplace for various industries specializing in hotel and airline guest reaccommodations.
1157,Roost,s2014,Web push notifications.
1158,SalesSift,s2014,Intelligent Lead Sourcing
1159,SFOX,s2014,Crypto-currency trading platform.
1160,Shift,s2014,API platform for partners to issue branded debit and credit cards to their end users.
1161,ShipBob,s2014,Providing Amazon level logistics to e-commerce businesses.
1162,Shout,s2014,Real-Time Classifieds
1163,Sliced Investing,s2014,Crowdfunding for hedge funds
1164,SpotAngels,s2014,Waze for parking
1165,SpringWit,s2014,Brain health and awareness
1166,TAXA Biotechnologies,s2014,"We enable cheaper, faster, and better genetic engineering of plants. We offer our platform both as a service and use it internally to develop our own engineered plants, eg fragrant moss. Currently raising money on www.wefunder.com/taxa"
1167,Tenjin,s2014,Mobile marketing analytics and infrastructure
1168,Think Gaming,s2014,"We provide market data on the mobile games business to developers, investors, and sales teams."
1169,Tinker,s2014,Digital Currency Market Making
1170,Tule Technologies,s2014,On-farm sensors providing remote insights. The only company that can measure crop water use and crop stress over a broad area and prescribe an irrigation quantity for optimal results.
1171,uBiome,s2014,Using Big Data and crowdscience to unlock the secrets of the human microbiome
1172,Unwind Me,s2014,Homejoy for massage
1173,VizeraLabs,s2014,Fabric projector furniture sales
1174,Weave,s2014,AI-assisted professional networking.
1175,Whirl,s2014,Pay instantly with your fingerprint.
1176,Women.com,s2014,Quora/Cosmo for women
1177,Zen99,s2014,Tax and insurance tools for independent contractors
1178,Zenamins,s2014,Personalized health company doing customized vitamin packs on subscription and creating a platform for consumable health products.
1179,Zip Phone,s2014,Whatsapp for voice
1180,Zoomer,s2014,"Outsourced, high volume food delivery."
1181,42,w2014,Analytics for retailers
1182,Abacus,w2014,"Making expense reports obsolete. Abacus is the easiest way for you to reimburse your team, reconcile corporate credit cards, and implement your expense policy. Sign up for a free trial."
1183,AirHelp,w2014,"AirHelp helps air passengers get compensation for delayed, cancelled and overbooked flights. Proud to be hated by the world's leading airlines!"
1184,AirPair,w2014,Instant access to the world's best software experts via video chat and screen sharing.
1185,Algolia,w2014,"With 50 data centers in 15 regions, Algolia offers a developer-friendly and enterprise-grade search API. Designed to make every search interaction meaningful and rewarding, Algolia serves billions of queries weekly for more than 5,000 customers."
1186,Ambition,w2014,"Performance management for the Millennial workforce. Transparency, accountability, motivation around daily activities to drive long-term results."
1187,AptDeco,w2014,AptDeco is a peer to peer marketplace for buying and selling furniture. Delivery included!
1188,Avametric,w2014,Simulate clothes on your body.
1189,Awesometalk,w2014,Free video calling without the hassle.
1190,Axoni,w2014,Next generation blockchain and distributed ledger technology.
1191,Bellabeat,w2014,Fashionable wellness
1192,Boostable,w2014,Advertising platform tools for marketplace sellers.
1193,Cambly,w2014,On-demand access to English tutors over video chat.
1194,CareMessage,w2014,Patient engagement using text messaging
1195,Chargehound,w2014,Automate your chargeback dispute process.
1196,CodeCombat,w2014,Game that teaches computer science to middle and high school kids.
1197,CodeNow,w2014,Our mission is to diversify the talent pipeline of students who pursue computer science and technology. We do this by providing free out-of-school computer programming training to students hosted at tech companies.
1198,Cruise,w2014,Self-driving cars.
1199,Dating Ring,w2014,In person matchmaking meets group dating. We do the work. You go on dates.
1200,Drive Pulse,w2014,Device tracks & monitors your car
1201,Edyn,w2014,Nest for lawn and garden
1202,Emailio,w2014,Mobile email app
1203,Eventjoy,w2014,"Fee-free ticketing, optimized for mobile."
1204,Flexport,w2014,"Flexport's mission is to make global trade easier for everybody. We are connecting humanity in a seamless web of global trade with our unique blend of software, human expertise, and physical infrastructure."
1205,Framed Data,w2014,Predicted churn for enterprises. Acquired by Square in March 2016.
1206,Futureleague,w2014,"Engineering and Programming for Kids 6-12 with a focus on creativity, teamwork, and design thinking. In private beta, in-person, soon to be online"
1207,GBatteries,w2014,Enabling li-ion batteries to charge ultra fast without compromising cycle life.
1208,Gobble,w2014,"Daily meal delivery, personalized to your tastes."
1209,Guesty,w2014,The management platform for the short term rental industry
1210,HoverChat,w2014,Message without interrupting what you're doing
1211,Immunity Project,w2014,The free HIV vaccine.
1212,Kimono Labs,w2014,Create APIs where they don't exist. With kimono you can quickly extract unstructured data from websites and turn it into clean APIs to use in your applications and services.
1213,Liftigniter,w2014,"Machine Learning personalization for dynamic digital properties - predict user impression actions in real-time. 80%+ average improvements in conversion, CTR, and engagement within 7 days. Billions of page views/mo served."
1214,MadeSolid,w2014,Functional 3D printing materials.
1215,Memebox,w2014,Full Stack Beauty Ecommerce
1216,MerryMint,w2014,The best local food & drink delivered for office celebrations
1217,MixerBox,w2014,Unified Music Player
1218,Motionlead,w2014,Animated mobile ads.
1219,Move Loot,w2014,Move Loot is the most convenient and economical way to buy and sell used furniture online.
1220,Next Caller,w2014,Real-time call verification technology
1221,Noora Health,w2014,Training patient families with health skills to improve outcomes and save lives.
